year,cpi_index
1960,16.8
1961,17.0
1962,17.3
1963,17.7
1964,18.1
1965,18.7
1966,19.5
1967,20.3
1968,21.2
1969,22.2
1970,23.0
1971,23.7
1972,24.9
1973,27.5
1974,31.6
1975,35.0
1976,37.1
1977,40.0
1978,43.6
1979,47.6
1980,52.4
1981,59.9
1982,66.0
1983,69.1
1984,72.1
1985,75.0
1986,78.1
1987,81.5
1988,84.8
1989,89.0
1990,93.3
1991,98.5
1992,99.4
1993,101.8
1994,102.0
1995,104.2
1996,105.9
1997,107.6
1998,108.6
1999,110.5
2000,113.5
2001,116.4
2002,119.0
2003,122.3
2004,124.6
2005,127.3
2006,129.9
2007,132.5
2008,136.4
2009,136.4
2010,138.9
2011,143.0
2012,145.2
2013,146.7
2014,148.9
2015,150.3
2016,152.5
2017,155.7
2018,158.6
2019,161.3
2020,161.7
2021,166.6
2022,180.7
2023,191.6
2024,196.2
