year,annual_return_pct
1960,1.80
1961,32.50
1962,-7.10
1963,15.60
1964,25.30
1965,6.70
1966,-8.10
1967,18.10
1968,22.40
1969,-0.80
1970,-3.60
1971,8.00
1972,27.40
1973,0.30
1974,-25.90
1975,18.50
1976,11.00
1977,9.40
1978,29.70
1979,44.70
1980,30.10
1981,-10.30
1982,5.50
1983,35.50
1984,-2.40
1985,25.10
1986,8.90
1987,5.90
1988,11.10
1989,21.40
1990,-14.80
1991,12.00
1992,-1.40
1993,32.50
1994,-0.18
1995,14.53
1996,28.35
1997,14.98
1998,-1.58
1999,31.71
2000,7.41
2001,-12.57
2002,-12.44
2003,26.72
2004,14.48
2005,24.13
2006,17.26
2007,9.83
2008,-33.00
2009,35.05
2010,17.61
2011,-8.71
2012,7.19
2013,12.99
2014,10.55
2015,-8.32
2016,21.08
2017,9.10
2018,-8.89
2019,22.88
2020,5.60
2021,21.74
2022,-5.84
2023,11.82
2024,18.00
